participant_id,file_name,category,metric
be11e87d-492f-7da2-c973-dc3a15b942e7,Celine-001_Image,Fashion,0
be11e87d-492f-7da2-c973-dc3a15b942e7,Adidas_001_Image,Fashion,0
be11e87d-492f-7da2-c973-dc3a15b942e7,Fossil-001_Image,Fashion,0
be11e87d-492f-7da2-c973-dc3a15b942e7,Gucci-001_Image,Fashion,93.33333333
be11e87d-492f-7da2-c973-dc3a15b942e7,Intel-001_Image,Electronics,0
be11e87d-492f-7da2-c973-dc3a15b942e7,Nokia-001_Image,Electronics,0
be11e87d-492f-7da2-c973-dc3a15b942e7,OnePlus-001_Image,Electronics,0
be11e87d-492f-7da2-c973-dc3a15b942e7,Sonos-001_Image,Electronics,0
be11e87d-492f-7da2-c973-dc3a15b942e7,Asus-001_Image,Electronics,0
be11e87d-492f-7da2-c973-dc3a15b942e7,BeatsByDre-001_Image,Electronics,0
be11e87d-492f-7da2-c973-dc3a15b942e7,Samsung-001_Image,Electronics,0
be11e87d-492f-7da2-c973-dc3a15b942e7,Marshall-001_Image,Electronics,0
be11e87d-492f-7da2-c973-dc3a15b942e7,HP-001_Image,Electronics,0
bf6f99b4-b0b1-dfe4-b6ba-ad441d4bb12e,Amazon-001_Image,Electronics,0
bf6f99b4-b0b1-dfe4-b6ba-ad441d4bb12e,Cheerios-001_Image,Food & Beverage,0
bf6f99b4-b0b1-dfe4-b6ba-ad441d4bb12e,Heineken-001_Image,Food & Beverage,0
bf6f99b4-b0b1-dfe4-b6ba-ad441d4bb12e,Heinz-001_Image,Food & Beverage,0
bf6f99b4-b0b1-dfe4-b6ba-ad441d4bb12e,Jif-001_Image,Food & Beverage,0
bf6f99b4-b0b1-dfe4-b6ba-ad441d4bb12e,Kinder-001_Image,Food & Beverage,0
bf6f99b4-b0b1-dfe4-b6ba-ad441d4bb12e,KitKat-001_Image,Food & Beverage,0
bf6f99b4-b0b1-dfe4-b6ba-ad441d4bb12e,Lipton-001_Image,Food & Beverage,0
bf6f99b4-b0b1-dfe4-b6ba-ad441d4bb12e,Oreo-001_Image,Food & Beverage,0
bf6f99b4-b0b1-dfe4-b6ba-ad441d4bb12e,Pepsi-001_Image,Food & Beverage,0
bf6f99b4-b0b1-dfe4-b6ba-ad441d4bb12e,Snickers-001_Image,Food & Beverage,0
